OBJECTID,CODE,NAME,步行友善度,自行車便利度,街道連通度,大眾運輸可達度,生活機能多樣性,都市密度強度,區域整合度,低汽車依賴度,TOD整體分數,交易物件數量,建物單價元/坪,,,,,,,,,,,,
55,G07,公館站,0.760145298,0.932831781,0.651352955,1,0.969550227,0.733610732,1,0.919499548,0.85242722,3,845097.2397,,,,,,,,,,,,
56,R23,景美站,0.983926158,0.553853014,0.889625922,1,0.92071783,0.860798771,1,0.517547701,0.818067057,6,784033.8994,,,,,,,,,,,,
57,O09,西門站,0.707165959,0.841218926,0.991100386,1,0.90535021,0.768991632,1,0.814283186,0.861158614,2,971743.7658,,,,,,,,,,,,
58,O10,中山國小站,0.948523529,0.950193759,0.865049688,1,0.990650293,0.87165084,1,0.940033823,0.938014562,12,816925.0055,,,,,,,,,,,,
59,BR13,松江南京站,0.820462487,0.99393689,0.948060025,1,0.85334557,0.863205001,1,0.992615832,0.924517972,11,1207533.15,,,,,,,,,,,,
60,O12,大橋頭站,0.628420653,0.893587597,0.944830653,1,0.981931084,0.86800668,1,0.873784632,0.8843659,6,876623.0666,,,,,,,,,,,,
61,R07 / O06,東湖站,0.439934827,0.655496015,0.691738151,1,0.985931795,0.94346292,1,0.616855601,0.761917044,4,589148.594,,,,,,,,,,,,
62,BR15,劍南路站,0.865250804,0.953435588,0.64638287,1,0.923556135,0.960040849,1,0.943889089,0.898936476,1,1045922.735,,,,,,,,,,,,
63,R03,台北小巨蛋站,0.759403354,0.908712653,0.896762801,1,0.59227323,0.895925908,1,0.891288911,0.849195265,8,1279154.007,,,,,,,,,,,,
64,R06,大安森林公園站,0.912064151,0.926080325,0.988632396,1,0.563438364,0.894508878,1,0.911565873,0.885184284,3,1715337.627,,,,,,,,,,,,
65,R04,南京三民站,0.952879986,0.937693896,0.921200696,1,0.898313856,0.963042231,1,0.925230855,0.942623074,8,1008345.393,,,,,,,,,,,,
66,R02,圓山站,0.4894064,0.957862665,0.988632846,1,0.734790181,0.900047549,1,0.949164627,0.859986324,0,,,,,,,,,,,,,
67,G16 / BR11,南港展覽館站,0.536338334,0.894011258,0.687541674,1,0.832967906,0.950801515,1,0.874272983,0.825133381,1,682327.5968,,,,,,,,,,,,
68,G15 / O08,芝山站,0.703367477,0.90637549,0.832636229,1,0.866219547,0,1,0.888574723,0.742453352,8,776284.4396,,,,,,,,,,,,
69,G19,松山機場站,0.862113409,0.855310851,0.695994684,0,0.439922981,0.778162361,1,0.830126393,0.780232954,0,,,,,,,,,,,,,
70,G18,南京復興站,0.893999343,0.971796464,0.977338353,1,0.913471806,0.931819035,1,0.965849906,0.950610701,0,,,,,,,,,,,,,
71,G17,台北車站,0.82257789,0.718699589,0.691764034,1,0.90794252,0.768055801,1,0.681692737,0.798676082,0,,,,,,,,,,,,,
72,G13,北門站,0.567083483,0.883832554,0.865049688,1,0.861719563,0.765231701,1,0.862571156,0.829355449,1,942753.3168,,,,,,,,,,,,
73,R11 / G14,中山站,0.916856568,0.889746594,1,1,0.5796718,0.965309436,1,0.869362266,0.888706666,6,1099037.057,,,,,,,,,,,,
